species_name,city,climate_zone,latitude,longitude,sunlight,temp_min,temp_max
Acer saccharum,nova scotia,Dfb,44.397128,-65.212657,full,-10,30,sugar maple
Acer palmatum,Tokyo,Cfa,35.704492,139.684289,full,-10,30,Japanese maple
Adromischus cristatus,eastern cape,BSk,-32.464405,26.517603,full,10,30,crinkle leaf plant
Agave ovatifolia,Nuevo Leon,BSh,25.580723,-99.973995,full,15,30,whale's tongue agave
Aeonium arboreum,Canary Islands,Csb,28.294842,-16.507460,full,4,38,tree aeonium
Aeonium davidbramwellii,Canary Islands,Csb,28.294842,-16.507460,shade,18,24,sunburst aeonium
Aglaonema commutatum,Sulawesi,Af,-1.886120,120.482277,shade,15,24,Philippine evergreen
Allium schoenoprasum,Prague,Cfb,50.032658,14.504150,full,15,20,chives
Aloe aristata,Eastern Cape,BSk,-32.464405,26.517603,full,8,25,Guinea-fowl aloe
Aloe vera,arabian peninsula,BWh,22.704788,45.604600,full,10,25,aloe
Anacampseros rufescens,eastern cape,BSk,-32.464405,26.517603,partial,15,30,anacampseros rufescens
Anthurium andraeanum,Quito,Cfb,-0.871918,-78.021019,partial,18,27,flamingo flower
Artemisia dracunculus,Moscow,Dfb,55.698996,37.666574,full,-44,44,tarragon
Asparagus densiflorus,Cape of good Hope,Csb,-34.353399,18.475476,partial,18,24,foxtail fern
Aspidistra elatior,Hualien County,Cfb,23.972359,121.459102,shade,7,29,cast-iron-plant
Beaucarnea recurvata,Tamaullipa,BSh,23.573929,-98.679794,full,16,21,ponytail palm
Calathea makoyana,State of Amazonas,Af,-5.175967,-65.314439,partial,18,27,peacock plant
Carex buchananii,Christchurch,Cfb,-43.549884,172.599758,full,0,25,red rooster
Coriandrum sativum,Agrinio,Csa,38.611983,21.423456,partial,15,25,coriander
Cotyledon orbiculata,Cape Town,Csb,-34.221006,18.437603,full,15,25,round-leafed navel-wort
Crassula ovata,cape town,Csb,-34.221006,18.437603,full,15,25,jade plant
Crassula tetragona,cape town,Csb,-34.221006,18.437603,full,15,25,minature pine tree
Dieffenbachia oerstedii,Merida,Aw,20.998002,-89.643220,partial,18,27,dumb cane
Dionaea muscipula,south carolina,Cfa,34.106939,-81.087422,partial,5,35,Venus flytrap
Dracaena marginata,Antananarivo,Cwb,-18.879544,47.511825,full,18,24,Madagascar dragon tree
Dracaena sanderiana,Cameroon,Aw,7.390665,12.434711,partial,16,24,lucky bamboo
Dypsis lutescens,Pemba Island,Am,-5.080842,39.783689,full,16,25,areca palm
Echeveria agavoides,San Luis Potosí,BSk,22.137789,-100.972660,full,10,21,echeveria prolifera
Echeveria colorata,San Luis Potosí,BSk,22.137789,-100.972660,full,10,21,echeveria
Echeveria elegans,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,Mexican snowball
Echeveria harmsii,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,plush plant
Echeveria lilacina,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,ghost echeveria
Echeveria peacockii,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,Mexican chicks and hens
Echeveria pulvinata,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,chenille plant
Echeveria secunda,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,blue echeveria
Echeveria setosa,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21,Mexican fire cracker
Echeveria shaviana,San Luis Potosi,BSk,22.137789,-100.972660,full,10,21, Mexican hens and chicks
Euphorbia milii,Antananarivo,Cwb,-18.879544,47.511825,full,10,25,crown of thorns
Euphorbia pulcherrima,Chiapas,Cwb,16.847160,-92.929077,partial,13,18,poinsettia
Euphorbia tortilis,Mumbai,Aw,19.288415,73.265368,full,10,30,spiral cactus
Euphorbia trigona,Bangui,Aw,6.176331,20.712669,full,10,30,African milk tree
Ficus benjamina,Bangkok,Aw,13.829810,100.664636,partial,18,24,weeping fig
Gasteria brevifolia,Eastern Cape,BSk,-32.464405,26.517603,full,18,26,cow-tongue
Gasteria fuscopunctata,Eastern Cape,BSk,-32.464405,26.517603,full,18,26,ox-tongue
Ginkgo biloba,Kyoto,Cfa,34.981097,135.734123,full,10,25,ginkgo
Haworthia acuminata,eastern cape,BSk,-32.464405,26.517603,full,18,26,haworthia magnifica
Haworthia coarctata,eastern cape,BSk,-32.464405,26.517603,full,18,26,aloe coarctata
Haworthia reinwardtii,eastern cape,BSk,-32.464405,26.517603,full,18,26,zebra wart
Haworthia retusa,eastern cape,BSk,-32.464405,26.517603,full,18,26,star cactus
Haworthia fasciata,eastern cape,BSk,-32.464405,26.517603,full,18,26,zebra haworthia
Hedera helix,England,Cfb,52.446626,-1.795558,full,0,21,English ivy
Hosta sieboldiana,Seoul,Dwa,37.546509,126.975810,shade,10,20,hosta elegans
Huernia zebrina,Harare,Cwb,-17.960060,31.215775,full,14,25,lifesaver plant
Hyacinthus orientalis,Kayseri,Csb,38.723380,35.487008,full,10,19,hyacinth
Kalanchoe blossfeldiana,Antananarivo,Cwb,-18.879544,47.511825,full,10,25,flaming Katy
Kalanchoe farinacea,Socotra,Bwh,12.463824,53.975673,partial,16,25,kalanchoe farinacea
Kalanchoe fedtschenkoi,
Kalanchoe thyrsiflora,
Kalanchoe tomentosa,
Lamprocapnos spectabilis,
Lavandula dentata,
Lavandula pedunculata,
Lavandula stoechas,
Ledebouria socialis,
Mammillaria crinita,
Maranta leuconeura,
Melissa officinalis,
Mentha piperita,
Monstera deliciosa,
Nephrolepis cordifolia,Honolulu,As,21.310161,-157.845653,partial,15,25,sword fern
Ocimum basilicum,
Opuntia microdasys,Monterrey,BSh,25.568295,-100.220571,full,21,37,bunny ear cactus
Origanum vulgare,
Oxalis triangularis,State of Amazonas,Af,-5.175967,-65.314439,partial,15,25,false shamrock
Pachira aquatica,Bogota,Cfb,4.586620,-74.092692,partial,0,37,guiana chestnut
Parodia magnifica,
Peperomia pellucida,,,,shade,15,24
Persea americana,
Petroselinum crispum,
Phalaenopsis amabilis,
Phalaenopsis pulcherrima,
Philodendron hederaceum,Bayamo,Aw,20.162871,-76.494723,partial,24,27,heartleaf philodendron
Rosmarinus officinalis,
Salvia officinalis,
Sansevieria laurentii,
Sansevieria trifasciata,
Sedum morganianum,
Sedum spurium,
Sedum treleasei,
Sempervivum tectorum,
Senecio crassissimus,
Senecio ficoides,
Senecio radicans,
Senecio vitalis,
Sesamum indicum,
Solanum lycopersicum,
Solanum tuberosum,
Spathiphyllum wallisii,,,,partial,18,30
Strelitzia nicolai,
Thymus vulgaris,
